referee,date,total_fouls,total_yellows,rolling_yellows,rolling_fouls
A Kitchen,2025-04-19,27,3,3.0,27.0
A Kitchen,2025-05-18,27,1,2.0,27.0
A Kitchen,2025-10-05,24,4,2.6666666666666665,26.0
A Kitchen,2025-11-08,26,3,2.75,26.0
A Kitchen,2025-12-04,22,4,3.0,25.2
A Kitchen,2026-05-24,21,4,3.1666666666666665,24.5
A Madley,2022-08-06,16,2,2.0,16.0
A Madley,2022-08-20,30,3,2.5,23.0
A Madley,2022-08-27,18,3,2.6666666666666665,21.333333333333332
A Madley,2022-09-03,17,6,3.5,20.25
A Madley,2022-10-01,22,2,3.2,20.6
A Madley,2022-10-08,12,1,2.8333333333333335,19.166666666666668
A Madley,2022-10-15,31,4,3.0,20.857142857142858
A Madley,2022-10-29,22,3,3.0,21.0
A Madley,2022-11-06,18,0,2.6666666666666665,20.666666666666668
A Madley,2022-12-26,27,0,2.4,21.3
A Madley,2022-12-31,27,7,2.9,22.4
A Madley,2023-01-03,26,8,3.4,22.0
A Madley,2023-01-21,17,3,3.4,21.9
A Madley,2023-02-05,33,5,3.3,23.5
A Madley,2023-02-11,20,1,3.2,23.3
A Madley,2023-02-18,14,5,3.6,23.5
A Madley,2023-03-05,27,5,3.7,23.1
A Madley,2023-03-12,21,3,3.7,23.0
A Madley,2023-04-01,30,6,4.3,24.2
A Madley,2023-04-15,17,3,4.6,23.2
A Madley,2023-04-22,33,4,4.3,23.8
A Madley,2023-04-26,18,3,3.8,23.0
A Madley,2023-05-06,19,3,3.8,23.2
A Madley,2023-05-14,30,3,3.6,22.9
A Madley,2023-08-12,29,8,4.3,23.8
A Madley,2023-08-19,25,9,4.7,24.9
A Madley,2023-09-02,24,3,4.5,24.6
A Madley,2023-09-16,18,5,4.7,24.3
A Madley,2023-09-30,40,8,4.9,25.3
A Madley,2023-10-07,27,5,5.1,26.3
A Madley,2023-10-27,30,3,5.0,26.0
A Madley,2023-11-05,20,2,4.9,26.2
A Madley,2023-11-25,14,5,5.1,25.7
A Madley,2023-12-09,34,7,5.5,26.1
A Madley,2023-12-16,23,4,5.1,25.5
A Madley,2023-12-27,19,2,4.4,24.9
A Madley,2024-01-21,21,3,4.4,24.6
A Madley,2024-02-04,15,1,4.0,24.3
A Madley,2024-02-17,19,4,3.6,22.2
A Madley,2024-02-21,29,5,3.6,22.4
A Madley,2024-03-03,15,1,3.4,20.9
A Madley,2024-04-03,21,2,3.4,21.0
A Madley,2024-04-06,21,0,2.9,21.7
A Madley,2024-04-20,19,1,2.3,20.2
A Madley,2024-04-24,19,3,2.2,19.8
A Madley,2024-05-05,22,4,2.4,20.1
A Madley,2024-05-19,20,2,2.3,20.0
A Madley,2024-09-28,24,3,2.5,20.9
A Madley,2024-10-05,19,5,2.6,20.9
A Madley,2024-10-19,25,4,2.5,20.5
A Madley,2024-10-26,26,13,3.7,21.6
A Madley,2024-11-02,32,6,4.1,22.7
A Madley,2024-11-23,27,7,4.8,23.3
A Madley,2024-12-04,26,7,5.4,24.0
A Madley,2024-12-27,18,2,5.3,23.9
A Madley,2025-01-04,26,5,5.4,24.3
A Madley,2025-01-15,13,0,5.2,23.6
A Madley,2025-01-18,20,5,5.4,23.2
A Madley,2025-02-01,33,5,5.4,24.6
A Madley,2025-02-15,18,1,5.1,23.9
A Madley,2025-02-22,21,5,4.3,23.4
A Madley,2025-02-26,27,2,3.9,22.9
A Madley,2025-03-16,23,0,3.2,22.5
A Madley,2025-04-02,23,3,2.8,22.2
A Madley,2025-04-13,23,2,2.8,22.7
A Madley,2025-05-05,24,11,3.4,22.5
A Madley,2025-05-25,16,0,3.4,22.8
A Madley,2025-09-28,23,5,3.4,23.1
A Madley,2025-10-20,20,2,3.1,21.8
A Madley,2025-10-25,28,2,3.2,22.8
A Madley,2025-11-08,25,4,3.1,23.2
A Madley,2025-11-22,19,2,3.1,22.4
A Madley,2025-12-03,19,4,3.5,22.0
A Madley,2025-12-06,19,1,3.3,21.6
A Madley,2025-12-20,27,9,4.0,22.0
A Madley,2026-01-01,18,3,3.2,21.4
A Madley,2026-01-07,11,2,3.4,20.9
A Madley,2026-01-17,18,3,3.2,20.4
A Madley,2026-02-07,32,4,3.4,21.6
A Madley,2026-02-10,29,4,3.6,21.7
A Madley,2026-03-01,25,4,3.6,21.7
A Madley,2026-03-05,28,5,3.9,22.6
A Madley,2026-03-14,23,0,3.5,23.0
A Madley,2026-04-12,29,3,3.7,24.0
A Madley,2026-04-22,22,0,2.8,23.5
A Madley,2026-04-25,20,4,2.9,23.7
A Madley,2026-05-09,33,6,3.3,25.9
A Madley,2026-05-24,12,1,3.1,25.3
A Marriner,2022-08-06,17,3,3.0,17.0
A Marriner,2022-08-20,15,5,4.0,16.0
A Marriner,2022-08-31,19,2,3.3333333333333335,17.0
A Marriner,2022-10-01,21,4,3.5,18.0
