team,Andre Marriner,Andy Madley,Anthony Taylor,Chris Kavanagh,Craig Pawson,Darren England,David Coote,Graham Scott,Jarred Gillett,John Brooks,Jonathan Moss,Kevin Friend,Lee Mason,Lee Probert,Martin Atkinson,Michael Oliver,Michael Salisbury,Mike Dean,Mike Jones,Niel Swarbrick,Oliver Langford,Paul Tierney,Peter Bankes,Robert Jones,Robert Madley,Roger East,Simon Hooper,Stuart Attwell,Tim Robinson,Tony Harrington
Arsenal,1.2142857142857142,3.0,1.5263157894736843,1.7692307692307692,2.0,3.0,1.0,1.3333333333333333,2.0,,1.9285714285714286,2.2222222222222223,1.3333333333333333,0.0,1.4444444444444444,2.0,,2.0625,,1.0,,2.6363636363636362,1.0,,1.5,,,2.4166666666666665,,
Aston Villa,,2.0,2.8,1.7,2.3636363636363638,2.3333333333333335,1.6666666666666667,2.0,2.0,4.5,1.5714285714285714,7.0,0.6666666666666666,,1.6666666666666667,1.75,3.0,2.6666666666666665,,,,1.7142857142857142,2.0,0.5,,,1.5,2.1666666666666665,,
Bournemouth,1.25,0.0,1.5,1.5714285714285714,1.6666666666666667,,1.0,1.7142857142857142,,,2.0,1.7777777777777777,1.4285714285714286,1.25,1.4285714285714286,2.3333333333333335,,2.4444444444444446,1.0,,,1.7777777777777777,3.0,,2.0,1.5714285714285714,2.3333333333333335,2.375,,
Brentford,0.0,0.0,3.0,0.0,2.0,2.8,1.5,3.0,2.0,,0.75,,,,1.0,2.3333333333333335,0.0,3.0,,,,3.0,2.6666666666666665,2.0,,,1.0,1.0,,
Brighton & Hove Albion,1.6,1.4,1.8333333333333333,2.1666666666666665,1.6363636363636365,1.5,2.5714285714285716,1.2222222222222223,,2.5,1.9230769230769231,1.0952380952380953,1.5,1.75,0.9166666666666666,1.4,,1.8,,2.5,,0.25,2.25,0.8,0.5,2.0,1.3333333333333333,1.8333333333333333,,2.0
Burnley,1.5,1.5,1.5,1.5714285714285714,2.0,2.0,1.3,1.1111111111111112,,3.0,2.2,2.076923076923077,1.7142857142857142,1.2,2.2142857142857144,1.7142857142857142,,1.9473684210526316,0.0,,,1.3076923076923077,1.0,3.0,1.0,1.6666666666666667,1.8,1.5,0.0,
Cardiff City,1.3333333333333333,0.0,3.0,0.0,2.0,,,2.0,,,1.8,2.0,3.0,2.5,1.75,1.0,,2.6666666666666665,,,,3.0,,,,,1.5,0.5,,
Chelsea,0.9285714285714286,0.3333333333333333,1.8571428571428572,1.6666666666666667,1.7692307692307692,,2.0,0.8,,,1.6875,1.0666666666666667,0.8,0.5,1.0666666666666667,1.375,,2.0833333333333335,2.0,1.0,1.0,1.0833333333333333,1.25,,0.0,0.5,,2.076923076923077,,
Crystal Palace,1.8888888888888888,2.0,2.0714285714285716,2.0,1.875,2.0,1.8571428571428572,1.375,3.0,,1.6111111111111112,1.8571428571428572,1.6,0.75,1.625,1.0714285714285714,3.0,1.625,,1.75,,1.75,1.0,1.5,3.0,2.0,1.375,1.6,,1.0
Everton,1.6,1.2,1.9230769230769231,1.3,2.4166666666666665,2.5,2.0,1.8888888888888888,,1.0,1.7333333333333334,1.6666666666666667,1.5,1.4,1.3846153846153846,2.3125,,1.7142857142857142,,0.5,,1.8181818181818181,,,3.3333333333333335,0.0,0.5,2.5,,
Fulham,2.4,1.6666666666666667,1.0,1.0,1.6666666666666667,1.5,1.8571428571428572,1.5,,,1.0,2.1666666666666665,2.0,2.75,2.0,2.5,,1.3333333333333333,,,,2.0,2.0,2.0,,2.5,2.5,3.0,,
Huddersfield Town,1.3333333333333333,,1.4,1.6,2.25,,2.0,1.0,,,1.7142857142857142,0.875,1.6666666666666667,1.0,4.0,1.0,,2.6,,1.0,,2.75,,,,2.6666666666666665,,1.6666666666666667,,
Leeds United,1.4285714285714286,,1.875,2.7142857142857144,3.25,1.6666666666666667,2.125,1.0,3.0,,,3.1666666666666665,1.0,,,1.6666666666666667,,2.0,,,,2.0,3.0,1.0,,,2.6666666666666665,2.5,,
Leicester City,1.2857142857142858,1.0,1.4285714285714286,2.0,2.2,1.0,0.8888888888888888,0.875,1.5,,1.8,,1.1428571428571428,1.1428571428571428,1.8181818181818181,1.380952380952381,,2.2666666666666666,4.0,1.5,0.0,1.5,1.0,1.3333333333333333,1.5,0.0,0.2,1.5,,
Liverpool,1.368421052631579,3.0,1.4545454545454546,1.0909090909090908,1.3333333333333333,,1.0,0.0,,,1.0714285714285714,0.4375,1.0,,0.9523809523809523,1.0952380952380953,,0.9,1.0,1.75,,1.6875,,,,0.5,,0.9090909090909091,,
Manchester City,1.45,0.0,1.2352941176470589,1.2857142857142858,1.4166666666666667,0.0,0.0,1.4,,,1.4,1.2222222222222223,1.125,,1.6,1.173913043478261,,2.25,1.6666666666666667,2.0,,1.4705882352941178,1.5,,2.5,2.0,0.0,1.0,,
Manchester United,1.3571428571428572,1.0,2.388888888888889,2.0,2.0555555555555554,1.0,1.5,1.25,,,1.56,1.75,1.8571428571428572,1.0,2.15,1.75,,2.3636363636363638,,1.0,,1.7142857142857142,2.0,,0.0,,,2.2857142857142856,,
Newcastle United,1.25,2.5,0.9230769230769231,1.6923076923076923,1.8888888888888888,1.6,2.111111111111111,1.4444444444444444,2.5,,,1.4166666666666667,1.8571428571428572,0.6666666666666666,1.4666666666666666,,,2.0,3.0,2.0,,2.25,2.7142857142857144,0.6666666666666666,1.0,2.3333333333333335,1.4285714285714286,2.142857142857143,2.0,1.0
Norwich City,0.6666666666666666,2.0,2.4,2.0,1.0,1.0,2.3333333333333335,0.5,2.5,1.0,2.6666666666666665,1.5,3.0,,1.25,1.6666666666666667,,1.0,,,,1.6,3.0,1.3333333333333333,,,0.7142857142857143,1.4,,3.0
Sheffield United,1.5,1.5,0.5,1.6666666666666667,,,2.5714285714285716,1.25,,,1.75,2.0,2.0,,1.3333333333333333,1.4,,2.8,,,,2.0,1.7142857142857142,2.0,,,1.8333333333333333,1.6,,
Southampton,1.2,1.0,1.8333333333333333,1.5714285714285714,2.0,1.3333333333333333,2.7142857142857144,1.0833333333333333,0.5,,2.076923076923077,1.7333333333333334,2.0,0.8,2.0,1.7142857142857142,2.0,3.142857142857143,1.6666666666666667,1.0,,1.8888888888888888,1.125,0.6666666666666666,1.0,2.6666666666666665,2.3333333333333335,1.0833333333333333,,
Stoke City,1.0,,2.0,3.0,1.6666666666666667,,,3.0,,,2.5,1.0,0.0,0.0,2.3333333333333335,2.75,,1.6666666666666667,0.5,0.6666666666666666,,3.0,,,0.0,0.0,,1.0,,
Swansea City,1.5,,0.3333333333333333,,1.0,,,3.0,,,1.6666666666666667,2.5,0.5,,1.0,1.6666666666666667,,1.75,1.5,0.0,,1.0,,,1.0,2.0,,4.0,,
Tottenham Hotspur,1.125,0.0,1.8823529411764706,1.5454545454545454,2.2941176470588234,,2.6666666666666665,1.75,1.0,,1.5384615384615385,1.4285714285714286,0.6666666666666666,,1.2,2.1875,,2.142857142857143,1.0,1.5,,1.5,1.0,1.5,1.3333333333333333,1.0,,2.625,,
Watford,2.0,1.75,2.1818181818181817,2.1666666666666665,1.6363636363636365,1.0,3.6666666666666665,2.2,2.0,,2.6,1.8333333333333333,2.125,0.5,2.0,1.2727272727272727,,2.1538461538461537,,1.0,,1.4545454545454546,2.5,1.0,,1.8333333333333333,2.625,1.5,,
West Bromwich Albion,,1.5,1.4,1.0,5.0,3.0,1.5,1.3333333333333333,,,1.4,1.0,0.6666666666666666,0.5,0.4,2.2,,1.7142857142857142,3.0,0.0,,1.2857142857142858,2.5,,2.75,3.0,1.0,1.25,,
West Ham United,1.25,1.3333333333333333,2.0,1.2857142857142858,1.1666666666666667,1.5,2.2857142857142856,1.0,1.0,,1.4615384615384615,1.3076923076923077,1.6666666666666667,2.0,1.4210526315789473,1.4761904761904763,,2.1538461538461537,3.0,1.75,,2.2222222222222223,1.5,1.5,2.0,1.6666666666666667,0.25,2.3076923076923075,,
